,corr_stocks,corr_oil,noisy_trader,przemek_trader,start_ind
0,-0.7379283286109436,0.8137612983624319,600,0,0
1,-0.6739592895055195,0.8137612983624319,550,50,0
2,-0.30609838924222,0.8137612983624319,500,100,0
3,0.3406092936723352,0.8137612983624319,450,150,0
4,0.3715001383442808,0.8137612983624319,400,200,0
5,0.3594248596313899,0.8137612983624319,350,250,0
6,0.5273207438762709,0.8137612983624319,300,300,0
7,0.10283574347975756,0.3755651567601211,600,0,100
8,0.15287232648625826,0.3755651567601211,550,50,100
9,0.17366505334425608,0.3755651567601211,500,100,100
10,0.1350828988619906,0.3755651567601211,450,150,100
11,0.188622783827246,0.3755651567601211,400,200,100
12,0.1761977168665012,0.3755651567601211,350,250,100
13,0.2294608690379944,0.3755651567601211,300,300,100
14,0.8913177084924047,0.3501674295632092,600,0,200
15,0.7332836289256289,0.3501674295632092,550,50,200
16,-0.8825340769870612,0.3501674295632092,500,100,200
17,-0.9510846357445173,0.3501674295632092,450,150,200
18,-0.9425713382189502,0.3501674295632092,400,200,200
19,-0.9497393551117747,0.3501674295632092,350,250,200
20,-0.9704607816567584,0.3501674295632092,300,300,200
21,0.4368114877867315,0.2039845601348102,600,0,300
22,0.21887526563735865,0.2039845601348102,550,50,300
23,-0.11403426177658836,0.2039845601348102,500,100,300
24,-0.4085785339646443,0.2039845601348102,450,150,300
25,-0.4796478892051795,0.2039845601348102,400,200,300
26,-0.3761207471526534,0.2039845601348102,350,250,300
27,-0.48580572194091415,0.2039845601348102,300,300,300
28,0.5443575082297337,0.2763155474442364,600,0,400
29,0.314399471242789,0.2763155474442364,550,50,400
30,0.6356140451883281,0.2763155474442364,500,100,400
31,0.5890232746063623,0.2763155474442364,450,150,400
32,0.3749619568498557,0.2763155474442364,400,200,400
33,0.35148685329424983,0.2763155474442364,350,250,400
34,0.3357397133233229,0.2763155474442364,300,300,400
35,0.30702882871923043,0.055189727804502785,600,0,500
36,0.350005604509231,0.055189727804502785,550,50,500
37,0.3496039195893629,0.055189727804502785,500,100,500
38,-0.07538675839513029,0.055189727804502785,450,150,500
39,0.402715216996093,0.055189727804502785,400,200,500
40,-0.28926730685544483,0.055189727804502785,350,250,500
41,0.016896699312369402,0.055189727804502785,300,300,500
42,0.09352338405761683,0.27255961959882713,600,0,600
43,0.2639540733544247,0.27255961959882713,550,50,600
44,0.122884359827852,0.27255961959882713,500,100,600
45,-0.20918603474370565,0.27255961959882713,450,150,600
46,-0.1765104183479578,0.27255961959882713,400,200,600
47,-0.2436268463580963,0.27255961959882713,350,250,600
48,-0.3738338110195306,0.27255961959882713,300,300,600
49,-0.6743497855154671,0.6142950239724413,600,0,700
50,-0.6616826025284854,0.6142950239724413,550,50,700
51,-0.6773380599947357,0.6142950239724413,500,100,700
52,-0.5696597463382099,0.6142950239724413,450,150,700
53,0.42447575771279605,0.6142950239724413,400,200,700
54,0.3605374545068766,0.6142950239724413,350,250,700
55,0.2527824378079526,0.6142950239724413,300,300,700
56,0.5072916559003448,0.0030315506328453933,600,0,800
57,0.15631830263011948,0.0030315506328453933,550,50,800
58,0.2569550735702589,0.0030315506328453933,500,100,800
59,0.1467242161674667,0.0030315506328453933,450,150,800
60,0.21525616840156847,0.0030315506328453933,400,200,800
61,0.20897748362026705,0.0030315506328453933,350,250,800
62,0.19073769875380514,0.0030315506328453933,300,300,800
63,0.5232503532332257,0.09780635080719692,600,0,900
64,0.14065292040710428,0.09780635080719692,550,50,900
65,0.056668028117602624,0.09780635080719692,500,100,900
66,-0.5465878797970796,0.09780635080719692,450,150,900
67,-0.9211711757894943,0.09780635080719692,400,200,900
68,-0.7261844770524774,0.09780635080719692,350,250,900
69,-0.8959232436310933,0.09780635080719692,300,300,900
70,0.416184075356415,0.2971730644846072,600,0,1000
71,0.2644720762544733,0.2971730644846072,550,50,1000
72,0.2240206649771551,0.2971730644846072,500,100,1000
73,0.2676789388634573,0.2971730644846072,450,150,1000
74,0.09099303904122552,0.2971730644846072,400,200,1000
75,-0.33602236842810984,0.2971730644846072,350,250,1000
76,-0.2349474332079619,0.2971730644846072,300,300,1000
77,-0.8717473846942014,0.4288857505394955,600,0,1100
78,0.7090162974811652,0.4288857505394955,550,50,1100
79,0.7842162742125676,0.4288857505394955,500,100,1100
80,0.8055404637999296,0.4288857505394955,450,150,1100
81,0.8226906492043354,0.4288857505394955,400,200,1100
82,0.8619430987304297,0.4288857505394955,350,250,1100
83,0.8575076909064463,0.4288857505394955,300,300,1100
84,-0.32241480679825396,0.06374416437549653,600,0,1200
85,-0.30372028372937143,0.06374416437549653,550,50,1200
86,-0.36106900166837497,0.06374416437549653,500,100,1200
87,-0.31570030523768505,0.06374416437549653,450,150,1200
88,-0.08294083352167085,0.06374416437549653,400,200,1200
89,0.3616006939361376,0.06374416437549653,350,250,1200
90,0.26870311450907364,0.06374416437549653,300,300,1200
91,0.8534504722997422,0.15781933567712167,600,0,1300
92,0.8527471549047407,0.15781933567712167,550,50,1300
93,0.4197931855922682,0.15781933567712167,500,100,1300
94,-0.4421214661797404,0.15781933567712167,450,150,1300
95,-0.5616691339657813,0.15781933567712167,400,200,1300
96,-0.4346555109886744,0.15781933567712167,350,250,1300
97,-0.6615991272374847,0.15781933567712167,300,300,1300
98,-0.6763979731763083,0.607030153439486,600,0,1400
99,-0.5783770221498782,0.607030153439486,550,50,1400
100,0.024734899403493948,0.607030153439486,500,100,1400
101,0.2818128737069377,0.607030153439486,450,150,1400
102,0.5448310865454876,0.607030153439486,400,200,1400
