NUM_NOISY_TRADER:800NUM_PRZEMEK_TRADER:250NUM_TREND_TRADER:0NUM_OF_ITERATIONS:40
60.335712
60.104286
61.041428
60.93
61.062858999999996
60.8
60.47
60.72
61.21
60.83
60.53
60.24
59.96
59.75
59.85
60.32
60.57
61.02
61.25
61.28
60.96
60.63
60.44
60.79
60.98
60.71
60.99
61.46
61.14
60.97
61.08
60.84
61.16
61.51
61.19
60.87
61.09
61.18
60.9
60.78
60.56
60.89
60.6
60.35
60.14
