,Date,Open,High,Low,Close,Adj Close,Volume
146,2008-10-29,64.5,69.239998,63.650002,67.5,67.5,222083.0
147,2008-10-30,68.110001,70.599998,64.040001,65.959999,65.959999,315415.0
148,2008-10-31,65.58000200000001,68.599998,63.119999,67.809998,67.809998,279196.0
150,2008-11-03,67.370003,69.190002,63.630001,63.91,63.91,256881.0
151,2008-11-04,63.799999,71.769997,62.25,70.529999,70.529999,236426.0
152,2008-11-05,70.0,70.459999,65.0,65.300003,65.300003,329187.0
153,2008-11-06,65.019997,65.5,60.16,60.77,60.77,272470.0
154,2008-11-07,60.669998,62.82,59.970001,61.040001000000004,61.040001000000004,292018.0
156,2008-11-10,61.799999,65.559998,59.099998,62.41,62.41,236045.0
157,2008-11-11,62.139998999999996,62.279999,58.32,59.330002,59.330002,286648.0
158,2008-11-12,59.0,59.5,55.5,56.16,56.16,258306.0
159,2008-11-13,55.439999,59.66,54.669998,58.240002000000004,58.240002000000004,261423.0
160,2008-11-14,59.389998999999996,59.959998999999996,55.689999,57.040001000000004,57.040001000000004,322685.0
162,2008-11-17,56.740002000000004,58.98,54.720001,54.950001,54.950001,245858.0
163,2008-11-18,55.009997999999996,55.98,53.959998999999996,54.389998999999996,54.389998999999996,337536.0
164,2008-11-19,54.700001,55.34,52.790001000000004,53.619999,53.619999,189689.0
165,2008-11-20,50.400002,50.450001,48.5,49.619999,49.619999,161384.0
166,2008-11-21,48.57,51.119999,48.25,49.93,49.93,274669.0
168,2008-11-24,50.970001,55.299999,48.799999,54.5,54.5,213647.0
169,2008-11-25,54.299999,54.66,50.52,50.77,50.77,233065.0
170,2008-11-26,50.650002,54.970001,50.150002,54.439999,54.439999,228413.0
173,2008-12-01,54.619999,54.619999,48.619999,49.279999,49.279999,129155.0
174,2008-12-02,48.849998,50.25,46.82,46.959998999999996,46.959998999999996,217048.0
175,2008-12-03,47.759997999999996,48.099998,46.259997999999996,46.790001000000004,46.790001000000004,233248.0
176,2008-12-04,47.0,47.27,43.360001000000004,43.669998,43.669998,217573.0
177,2008-12-05,43.779999,44.470001,40.5,40.810001,40.810001,232447.0
179,2008-12-08,41.639998999999996,44.700001,41.549999,43.709998999999996,43.709998999999996,327140.0
180,2008-12-09,44.049999,44.57,41.830002,42.07,42.07,289529.0
181,2008-12-10,42.400002,46.169998,41.889998999999996,43.52,43.52,240867.0
182,2008-12-11,44.049999,49.119999,43.279999,47.98,47.98,362393.0
183,2008-12-12,47.0,47.509997999999996,43.32,46.279999,46.279999,317267.0
185,2008-12-15,46.77,50.049999,44.099998,44.509997999999996,44.509997999999996,291629.0
186,2008-12-16,44.950001,46.529999,42.560001,43.599998,43.599998,256308.0
187,2008-12-17,43.75,45.5,39.880001,40.060001,40.060001,259901.0
188,2008-12-18,40.32,40.900002,35.98,36.220001,36.220001,174258.0
189,2008-12-19,34.759997999999996,37.5,32.400002,33.869999,33.869999,95999.0
191,2008-12-22,42.790001000000004,43.439999,39.5,39.91,39.91,194858.0
192,2008-12-23,39.549999,40.650002,37.790001000000004,38.98,38.98,149135.0
194,2008-12-26,35.700001,38.029999,35.599998,37.709998999999996,37.709998999999996,93376.0
196,2008-12-29,38.400002,42.200001,37.529999,40.02,40.02,64554.0
197,2008-12-30,40.009997999999996,40.389998999999996,37.93,39.029999,39.029999,150601.0
199,2009-01-02,43.720001,46.740002000000004,41.049999,46.34,46.34,188601.0
201,2009-01-05,47.040001000000004,49.279999,45.560001,48.810001,48.810001,184679.0
202,2009-01-06,48.400002,50.470001,47.599998,48.580002,48.580002,258762.0
203,2009-01-07,48.41,49.09,42.41,42.630001,42.630001,331307.0
204,2009-01-08,42.630001,43.630001,40.540001000000004,41.700001,41.700001,306262.0
205,2009-01-09,42.450001,42.700001,39.380001,40.830002,40.830002,312485.0
207,2009-01-12,40.549999,40.799999,37.48,37.59,37.59,277431.0
208,2009-01-13,37.490002000000004,39.5,36.099998,37.779999,37.779999,272828.0
209,2009-01-14,38.720001,39.450001,35.52,37.279999,37.279999,340615.0
210,2009-01-15,37.34,37.990002000000004,33.200001,35.400002,35.400002,311078.0
211,2009-01-16,35.279999,36.869999,34.18,36.509997999999996,36.509997999999996,179925.0
213,2009-01-20,36.139998999999996,39.549999,32.700001,38.740002000000004,38.740002000000004,97975.0
214,2009-01-21,40.91,44.43,40.240002000000004,43.549999,43.549999,354707.0
215,2009-01-22,44.209998999999996,45.099998,40.41,43.669998,43.669998,276261.0
216,2009-01-23,43.259997999999996,47.0,41.400002,46.470001,46.470001,317569.0
218,2009-01-26,46.049999,48.59,45.25,45.73,45.73,269756.0
219,2009-01-27,45.650002,47.490002000000004,41.41,41.580002,41.580002,277496.0
220,2009-01-28,41.990002000000004,43.599998,40.599998,42.16,42.16,308439.0
221,2009-01-29,42.220001,42.32,40.18,41.439999,41.439999,291416.0
222,2009-01-30,41.650002,43.439999,41.02,41.68,41.68,245854.0
224,2009-02-02,42.220001,42.25,39.830002,40.080002,40.080002,237726.0
225,2009-02-03,40.279999,41.169998,39.650002,40.779999,40.779999,263645.0
226,2009-02-04,40.93,41.919998,39.740002000000004,40.32,40.32,244615.0
227,2009-02-05,40.299999,41.25,39.459998999999996,41.169998,41.169998,254203.0
228,2009-02-06,41.0,42.68,38.599998,40.169998,40.169998,229734.0
230,2009-02-09,39.880001,42.43,39.419998,39.560001,39.560001,518382.0
231,2009-02-10,39.759997999999996,41.799999,37.349998,37.549999,37.549999,317497.0
232,2009-02-11,38.150002,38.470001,35.650002,35.939999,35.939999,359674.0
233,2009-02-12,35.919998,36.25,33.549999,33.98,33.98,315650.0
234,2009-02-13,34.360001000000004,38.25,33.810001,37.509997999999996,37.509997999999996,326176.0
236,2009-02-17,37.810001,38.490002000000004,34.450001,34.93,34.93,281710.0
237,2009-02-18,35.02,36.220001,34.130001,34.619999,34.619999,153708.0
238,2009-02-19,34.75,39.849998,34.59,39.48,39.48,73864.0
239,2009-02-20,38.860001000000004,39.5,36.91,38.939999,38.939999,82550.0
241,2009-02-23,39.73,41.490002000000004,37.869999,38.439999,38.439999,244809.0
242,2009-02-24,38.099998,40.130001,37.650002,39.959998999999996,39.959998999999996,285905.0
243,2009-02-25,39.919998,42.830002,39.400002,42.5,42.5,238188.0
244,2009-02-26,42.389998999999996,45.299999,42.27,45.220001,45.220001,323428.0
245,2009-02-27,44.59,44.91,42.549999,44.759997999999996,44.759997999999996,287202.0
247,2009-03-02,44.34,44.490002000000004,39.84,40.150002,40.150002,274579.0
248,2009-03-03,40.099998,42.07,39.439999,41.650002,41.650002,245234.0
249,2009-03-04,41.380001,45.759997999999996,41.040001000000004,45.380001,45.380001,241538.0
250,2009-03-05,45.419998,45.700001,42.860001000000004,43.610001000000004,43.610001000000004,319761.0
251,2009-03-06,43.610001000000004,46.299999,43.450001,45.52,45.52,228192.0
253,2009-03-09,45.759997999999996,48.830002,44.970001,47.07,47.07,306347.0
254,2009-03-10,47.25,48.32,45.330002,45.709998999999996,45.709998999999996,390590.0
255,2009-03-11,45.57,46.040001000000004,42.080002,42.330002,42.330002,289157.0
256,2009-03-12,42.73,47.220001,42.509997999999996,47.029999,47.029999,339876.0
257,2009-03-13,47.209998999999996,48.139998999999996,45.599998,46.25,46.25,316566.0
259,2009-03-16,45.200001,47.630001,43.619999,47.349998,47.349998,221028.0
260,2009-03-17,47.060001,49.82,46.529999,49.16,49.16,240078.0
261,2009-03-18,48.669998,49.869999,46.919998,48.139998999999996,48.139998999999996,214930.0
262,2009-03-19,49.73,52.25,48.779999,51.610001000000004,51.610001000000004,125337.0
263,2009-03-20,51.060001,52.130001,50.299999,51.060001,51.060001,96379.0
265,2009-03-23,52.130001,54.049999,51.619999,53.799999,53.799999,180152.0
266,2009-03-24,53.830002,54.060001,52.450001,53.98,53.98,229890.0
267,2009-03-25,53.73,54.18,51.860001000000004,52.77,52.77,212790.0
268,2009-03-26,52.84,54.66,52.759997999999996,54.34,54.34,283727.0
269,2009-03-27,54.0,54.279999,51.639998999999996,52.380001,52.380001,196916.0
271,2009-03-30,52.25,52.25,48.110001000000004,48.41,48.41,181165.0
272,2009-03-31,48.639998999999996,50.0,47.77,49.66,49.66,222171.0
273,2009-04-01,48.959998999999996,48.959998999999996,47.259997999999996,48.389998999999996,48.389998999999996,240254.0
274,2009-04-02,48.450001,52.869999,48.450001,52.639998999999996,52.639998999999996,234224.0
275,2009-04-03,52.360001000000004,53.900002,51.02,52.509997999999996,52.509997999999996,270270.0
277,2009-04-06,52.400002,53.599998,49.810001,51.049999,51.049999,212172.0
